cpu_temp,temp_h,temp_p,humidity,pressure,mag_x,mag_y,mag_z,timestamp
53.7,34.46897506713867,32.085418701171875,47.019752502441406,1000.224853515625,-31.510923385620117,-12.127184867858887,22.30965232849121,2017-06-30 09:09:50.433154

53.2,34.59322738647461,32.202083587646484,46.600318908691406,1000.234130859375,-31.274280548095703,-12.301025390625,22.17803382873535,2017-06-30 09:10:00.560780

55.8,34.69973373413086,32.30208206176758,46.49907684326172,1000.210205078125,-31.39698028564453,-12.32205581665039,21.81612205505371,2017-06-30 09:10:10.659735

54.2,34.681983947753906,32.40208435058594,46.45929718017578,1000.207763671875,-31.30792999267578,-12.200912475585938,21.590797424316406,2017-06-30 09:10:20.712165

56.4,34.84173583984375,32.49583435058594,46.5135383605957,1000.165283203125,-31.18180274963379,-12.11680793762207,21.648574829101562,2017-06-30 09:10:30.766441

55.8,34.9482421875,32.59375,45.822914123535156,1000.1572265625,-31.052444458007812,-12.213534355163574,21.74850845336914,2017-06-30 09:10:40.832383

55.8,35.03699493408203,32.70000076293945,45.569801330566406,1000.167724609375,-30.873680114746094,-12.05496597290039,21.715415954589844,2017-06-30 09:10:50.910575

53.7,35.03699493408203,32.80208206176758,43.400299072265625,1000.163818359375,-30.80681037902832,-12.276339530944824,21.667802810668945,2017-06-30 09:11:01.355363

55.8,35.214500427246094,32.900001525878906,45.20460510253906,1000.158447265625,-30.68301010131836,-12.195536613464355,21.729007720947266,2017-06-30 09:11:11.430024

54.8,35.214500427246094,32.97916793823242,45.298614501953125,1000.177734375,-30.627334594726562,-12.129456520080566,21.518787384033203,2017-06-30 09:11:21.544783

56.9,35.26775360107422,33.07500076293945,44.91895294189453,1000.182861328125,-30.767362594604492,-12.142362594604492,21.615026473999023,2017-06-30 09:11:31.641100

54.8,35.42750549316406,33.150001525878906,45.012962341308594,1000.1474609375,-30.72157859802246,-12.09775447845459,21.41327667236328,2017-06-30 09:11:41.712197

56.9,35.551761627197266,33.25208282470703,44.759857177734375,1000.197021484375,-30.6142635345459,-12.226884841918945,21.367450714111328,2017-06-30 09:11:51.801081

54.2,35.551761627197266,33.337501525878906,44.170475006103516,1000.198486328125,-30.598886489868164,-12.075766563415527,21.394332885742188,2017-06-30 09:12:01.870227

53.7,35.711517333984375,33.429168701171875,44.55375289916992,1000.2177734375,-30.66273307800293,-12.190155982971191,21.319589614868164,2017-06-30 09:12:12.000435

52.1,35.711517333984375,33.51041793823242,44.26810073852539,1000.224853515625,-30.5269775390625,-12.244621276855469,21.159873962402344,2017-06-30 09:12:22.102118

52.1,35.90677261352539,33.587501525878906,43.96075439453125,1000.2294921875,-30.59090232849121,-12.032081604003906,21.029117584228516,2017-06-30 09:12:32.203015

51.5,35.90677261352539,33.650001525878906,44.15962600708008,1000.216796875,-30.641334533691406,-11.946667671203613,20.948684692382812,2017-06-30 09:12:42.315010

52.1,35.97777557373047,33.71875,44.98042297363281,1000.197509765625,-30.62031364440918,-11.958084106445312,20.87127685546875,2017-06-30 09:12:52.404859

52.1,35.99552536010742,33.775001525878906,43.62086486816406,1000.188232421875,-30.63062858581543,-12.05151653289795,20.861045837402344,2017-06-30 09:13:02.508696

51.5,36.15528106689453,33.83124923706055,43.29905700683594,1000.21142578125,-30.693313598632812,-12.068216323852539,20.563840866088867,2017-06-30 09:13:12.604922

51.5,36.102027893066406,33.883331298828125,43.21950912475586,1000.190185546875,-30.60770606994629,-12.3546781539917,20.527273178100586,2017-06-30 09:13:22.707708

52.1,36.13753128051758,33.92499923706055,43.34967803955078,1000.19482421875,-30.60507583618164,-12.525710105895996,20.233169555664062,2017-06-30 09:13:32.805811

52.1,36.15528106689453,33.977081298828125,42.847076416015625,1000.27783203125,-30.49146270751953,-12.45639705657959,20.239961624145508,2017-06-30 09:13:42.907663

51.5,36.22628402709961,34.02708435058594,42.75306701660156,1000.27490234375,-30.330610275268555,-12.498088836669922,20.348812103271484,2017-06-30 09:13:53.000191

51.0,36.261783599853516,34.068748474121094,42.669898986816406,1000.2607421875,-30.228429794311523,-12.401843070983887,20.564640045166016,2017-06-30 09:14:03.101529

52.1,36.208534240722656,34.102081298828125,42.847076416015625,1000.258056640625,-30.16956901550293,-12.143179893493652,20.417293548583984,2017-06-30 09:14:13.195530

51.5,36.31503677368164,34.12708282470703,42.868770599365234,1000.26708984375,-30.16916275024414,-12.088489532470703,20.54312515258789,2017-06-30 09:14:23.300752

51.5,36.332786560058594,34.162498474121094,42.89769744873047,1000.245849609375,-30.057695388793945,-11.927447319030762,20.46455192565918,2017-06-30 09:14:33.401094

51.5,36.35054016113281,34.202083587646484,42.27215576171875,1000.25244140625,-29.899093627929688,-11.832926750183105,20.238807678222656,2017-06-30 09:14:43.497322

51.5,36.4570426940918,34.23125076293945,42.890464782714844,1000.24755859375,-29.805749893188477,-11.717413902282715,20.070785522460938,2017-06-30 09:14:53.595772

52.1,36.3682861328125,34.264583587646484,43.12549591064453,1000.26318359375,-29.82605743408203,-11.662715911865234,19.821969985961914,2017-06-30 09:15:03.696177

53.2,36.47479248046875,34.30208206176758,42.27577209472656,1000.283935546875,-29.8010311126709,-11.6432523727417,19.99285316467285,2017-06-30 09:15:13.810357

52.6,36.47479248046875,34.33333206176758,42.232383728027344,1000.258544921875,-29.70339584350586,-11.533390998840332,20.25313377380371,2017-06-30 09:15:23.915363
